source_id,ra,dec,parallax,parallax_error,pmra,pmdec,visibility_periods_used,radial_velocity,radial_velocity_error,astrometric_chi2_al,ipd_gof_harmonic_amplitude,bp_rp,phot_bp_rp_excess_factor,ruwe,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_n_good_obs_al,nss_solution_type,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,obj_func,goodness_of_fit,efficiency,significance,binary,p1_a0_mas,mass_function_msun,p1_omega_deg,p1_OMEGA_deg,p1_incl_deg,absolute_phot_g_mean_mag
43574131143039104,58.17597943609416,17.014956629753385,103.50079405457333,0.08819867,433.182994699696,-645.3686186694839,17,35.963917,1.7828425,29694.092,0.038470384,3.2023096,1.5269502,3.7299998,12.176142,10.8709,14.07321,0.71435624,983.21136,False,401,OrbitalTargetedSearch,10.588494936474195,0.0013119273,0.6073068625073361,0.15326543,0.5239050161198824,0.027421728,469.3478,1.629151,0.32486647,37.89186,0,1.3910854512579145,0.002888965551153706,1.5951651757431677,2.837831444591631,1.6200101289884672,46.905221491342445
73648110622521600,32.726916016179864,12.540391768752103,17.076489115903104,0.072694205,-135.8062824627081,-31.435694868943642,15,0.5713785,4.4968805,1057.0559,0.05478596,3.0358715,1.4906659,2.0953746,15.471945,14.2076,17.243471,0.56909233,38.380806,False,227,Orbital,491.1560012027506,7.920356,165.44379076958387,25.435072,0.22629505812207878,0.077759586,213.47499,-0.42603278,0.2871605,22.225372,1,1.011234985331265,0.00011484234225489989,1.3646753516295715,1.3324728545443574,1.9806611146687627,41.099890778719654
198464052134353536,72.24090793452535,36.80483497111108,41.54345439981329,0.0881875,-8.027857944771249,-366.2510588782212,17,0.0,1.1180166,5265.316,0.011572186,3.6320324,1.5731152,2.456141,14.380431,13.013077,16.64511,0.62306684,173.2543,False,413,Orbital,301.5181079175184,2.6994631,114.24923755165051,6.4367046,0.5043746787043829,0.07662061,575.1571,4.924189,0.0,14.872245,1,1.1104699247063214,2.8026330280211437e-05,2.1999907183486234,3.0206588736206217,2.0403387302986595,44.54118323829961
246890014559489792,58.965810409799815,47.846416147110304,19.03865338611593,0.029674252,18.644739168460593,-64.01677900928517,21,-16.496304,4.99741,1130.3608,0.016255427,2.9135103,1.4823937,1.5326742,14.382978,13.136931,16.050442,0.19036435,17.176617,False,482,Orbital,825.1980036257409,62.425888,-314.4470109838317,27.726913,0.5249161149858731,0.11578875,701.00946,6.516918,0.0,7.9047728,1,0.3647295877067092,1.377426447025362e-06,1.8062499187270984,0.5995471583015137,0.5862540709528075,40.64095898822961
373892712892466048,13.402764464062166,39.47537995945491,13.283683590037166,0.033895075,-49.317068040474915,12.214162929916865,18,-23.901018,1.5009773,1186.4865,0.008766156,2.5368624,1.422393,1.8773854,13.863311,12.708538,15.2454,0.19419017,24.824148,False,365,Orbital,477.21914484273793,5.14097,-67.50065169675372,25.48403,0.2570198643879311,0.091276236,405.19098,1.6065431,0.0,17.364326,1,0.3954965950951845,1.546028204174357e-05,1.844565743164155,1.9514151155485213,0.7203910121304119,38.269705312499504
405316961377489792,15.233888359663718,54.0859523997322,12.923166892000433,0.043618005,36.597618978810935,-107.25087556830934,24,0.0,1.1180166,1449.1294,0.017656205,2.8245716,1.4653903,1.457322,15.682299,14.458496,17.283068,0.26243824,13.132311,False,659,Orbital,676.7642553747581,15.583598,50.387685318163165,21.270393,0.6877841858464715,0.2147176,780.7805,2.9714339,0.0,7.5259814,0,0.9740336667844048,0.00012471556831091185,1.3034972103746738,0.010233271521791987,1.183693642235411,39.98446890329021
423297927866697088,0.37001855824635865,59.880238810608176,12.629176187630836,0.035299823,39.45714367504948,21.292544556400042,27,-30.567616,3.6363087,1156.8434,0.007730799,2.7134695,1.4467239,1.7316562,14.772931,13.5762205,16.28969,0.2827709,25.79602,False,395,Orbital,491.94427995922393,5.5312085,55.02753822744381,55.025402,0.09533781822590597,0.08327244,454.70966,0.5800605,0.0,25.207548,1,0.5734909166665528,5.161823892747982e-05,1.602625668712015,0.7015241672647832,1.5616682493758531,38.935302341782986
430892357759527424,7.674822030699804,63.50440775695271,26.228240576207742,0.049123242,-27.450886866942426,-5.505974053822608,27,0.0,1.1180166,1519.7493,0.005083656,3.6987982,1.5790945,1.4524813,15.627882,14.252694,17.951492,0.45112655,31.152145,False,460,Orbital,495.28032562640556,8.580562,-201.66995796082233,23.80568,0.3444068457431626,0.12239906,674.1748,4.6912704,0.3695914,13.512258,1,0.6621911682867732,8.752275368392532e-06,1.2071100491041598,0.9780120690754688,1.3280148391745603,43.44303599425298
453629708460138624,42.929445187350446,54.964995956754166,12.318107883500955,0.021303482,-18.095044585576467,-90.74144382465035,20,26.407507,2.548567,737.39417,0.017074017,2.4035635,1.4059955,1.4997311,13.462671,12.3405485,14.744112,0.12656681,13.170632,False,360,Orbital,311.98085320594356,3.8399322,10.133962783309016,36.69121,0.16474997045915654,0.15656011,443.7632,2.4312057,0.0,12.0179615,1,0.31128789252058114,2.2119700576295784e-05,0.20634384074695605,0.13542260717918492,1.494319058942963,37.548183342223844
522135261462534528,32.288730556016894,71.55094419496288,37.01171490337175,0.017334938,306.90955246996714,-239.24430409022557,24,0.58357465,0.11986201,911.0436,0.0101654725,0.7085624,1.196165,0.87639636,6.4476395,6.0089073,6.7174697,0.11294734,16.343645,True,343,OrbitalTargetedSearch,401.1387421312907,11.973039,118.24679541260758,69.094955,0.2224638586090458,0.15546611,388.2582,0.35778666,0.0,5.076822,0,0.2495701176182571,2.5418584323089894e-07,0.9473684298193573,0.5304077481979911,1.8809858960843377,36.03362656519226
